the_geom,NAME,HOUSENUM,STREETNAME,CITY,ZIP,URL,BIN,BBL
POINT (-73.99465215457163 40.73519616365903),New School University / Parsons School Of Design,66,FIFTH AVENUE,New York,10011,http://www.parsons.edu/html/splash.html,1009619,1005760042
POINT (-73.99706966379965 40.73546280987431),New School University / The New School,66,WEST 12 STREET,New York,10011,http://www.newschool.edu/,1083136,1005750017
POINT (-74.00681944352681 40.723441859057495),Metropolitan College,75,VARICK STREET,New York,10013,http://www.metropolitan.edu/,1002934,1002260001
POINT (-73.79439300079635 40.73944287003665),"School Of Nursing Of St. Vincents Catholic Medical Centers, The",175-05,HORACE HARDING EXPRESSWAY,Fresh Meadows,11365,http://www.svcmc.org/portal/training/allied_health.asp,4148794,4068890037
POINT (-73.84872054010768 40.721371886956774),Bramson Ort College,69-30,AUSTIN STREET,Forest Hills,11375,http://www.bramsonort.org/,4077468,4032347501
POINT (-73.79169409417617 40.72560042547538),St. John's University / Queens Campus,80-00,UTOPIA PARKWAY,Jamaica,11432,http://www.stjohns.edu/pls/portal30/sjudev.school.adminhome,0,
POINT (-73.88262668869274 40.76781246562115),"College Of Aeronautics, Laguardia Airport",86-01,23 AVENUE,East Elmhurst,11369,http://www.aero.edu/,4437065,4010640002
POINT (-74.09254228397026 40.61477207128726),Wagner College,1,CAMPUS ROAD,Staten Island,10301,http://www.wagner.edu/,5113453,5006200001
POINT (-73.99395097259607 40.747110544796385),Fashion Institute Of Technology (Suny),,7 AVENUE & WEST 27 STREET,New York,10001,http://www.fitnyc.suny.edu,1014252,
POINT (-73.89290953903091 40.87459002193658),Herbert H Lehman College (Cuny),250,BEDFORD PARK BLVD WEST,Bronx,10468,http://www.lehman.cuny.edu,2097309,2032470165
POINT (-73.92693174513067 40.817826050895235),Eugenio Maria De Hostos Comm Coll (Cuny),500,GRAND CONCOURSE,Bronx,10451,http://www.hostos.cuny.edu,2001019,2023430032
POINT (-73.90883250414988 40.8568141091849),Bronx Community College (Cuny),80,WEST 181 STREET,Bronx,10453,http://www.bcc.cuny.edu,2014573,2032100092
POINT (-73.95764418177963 40.66633782727834),Medgar Evers College (Cuny),1650,BEDFORD AVENUE,Brooklyn,11225,http://www.mec.cuny.edu,3034075,3012940001
POINT (-73.95348409151686 40.63176554821801),Brooklyn College (Cuny),2900,BEDFORD AVENUE,Brooklyn,11210,http://www.brooklyn.cuny.edu,3347326,3075520100
POINT (-73.98766333253079 40.69552146244829),Nyc Technical College (Cuny),300,JAY STREET,Brooklyn,11201,http://www.nyctc.cuny.edu,3335891,3001280001
POINT (-73.9449435524464 40.65507267868331),Health Science Center At Brooklyn (Suny),450,CLARKSON AVENUE,Brooklyn,11203,http://www.hscbklyn.edu,3336186,3048380001
POINT (-73.95911733944205 40.775351150446056),Hunter College School Social Work (Cuny),129,EAST 79 STREET,New York,10021,http://www.hunter.cuny.edu,1047468,1015080012
POINT (-73.98339828552592 40.74021907770699),Bernard M Baruch College (Cuny),155,EAST 24 STREET,New York,10010,http://www.baruch.cuny.edu,1086514,1008800024
POINT (-74.01183075983597 40.71865472056016),Borough Of Manhattan Comm College (Cuny),199,CHAMBERS STREET,New York,10013,http://www.bmcc.cuny.edu,1066406,1001420050
POINT (-73.98218892338582 40.75449402764767),Nys College Of Optometry (Suny),33,WEST 42 STREET,New York,10036,http://www.sunyopt.edu,1034197,1012580018
POINT (-73.98348992428072 40.74845551426779),Cuny Grad School&University Center (Cuny),365,FIFTH AVENUE,New York,10016,http://www.gc.cuny.edu,1017097,1008647502
POINT (-73.98339828552592 40.74021907770699),Baruch Grad Sch Of Politcal Management,55,LEXINGTON AVENUE,New York,10010,http://www.baruch.cuny.edu,1086514,1008800024
POINT (-73.96474222642745 40.768569446676494),Hunter College (Cuny),695,PARK AVENUE,New York,10021,http://www.hunter.cuny.edu,1081419,1014030001
POINT (-73.98825336846367 40.7702792782081),John Jay College Criminal Justice (Cuny),899,10 AVENUE,New York,10019,http://www.jjay.cuny.edu,1027085,1010870025
POINT (-73.75759790651955 40.75383842336462),Queensborough Community College (Cuny),222-05,56 AVENUE,Oakland Gardens,11364,http://www.qcc.cuny.edu,4444187,4074900002
POINT (-73.93512379108051 40.7439956895944),Fiorello H Laguardia Comm College (Cuny),31-10,THOMSON AVENUE,Long Island City,11101,http://www.lagcc.cuny.edu,4003534,4002780001
POINT (-73.82453915216028 40.737108318660674),School Of Law At Queens College (Cuny),65-21,MAIN STREET,Flushing,11367,http://web.law.cuny.edu,4141868,4065070030
POINT (-73.81829898457165 40.735954805733996),Queens College (Cuny),65-30,KISSENA BOULEVARD,Flushing,11367,http://www.qc.edu,4141870,4065170001
POINT (-73.81829898457165 40.735954805733996),Queens Coll Sch Math & Science,65-30,KISSENA BOULEVARD,Flushing,11367,http://www.qc.edu/,4141870,4065170001
POINT (-73.79625692788854 40.70172969617277),York College (Cuny),94-20,GUY R BREWER BOULEVARD,Jamaica,11433,http://www.york.cuny.edu,4215630,4101040043
POINT (-74.14887611925316 40.60063483947812),College Of Staten Island (Cuny),2800,VICTORY BOULEVARD,Staten Island,10314,http://www.csi.cuny.edu,5131068,5020400001
POINT (-73.92038932251565 40.816519958982994),"College Of New Rochelle, The / School Of New Resources/John Cardinal O?Connor Campus",332,EAST 149 STREET,Bronx,10451,http://www.cnr.edu/,2000898,2023300034
POINT (-73.887390126939 40.86125886238194),Fordham University,441,EAST FORDHAM ROAD,Bronx,10458,http://www.fordham.edu/,2102025,2032730001
POINT (-73.90190577626052 40.889767124763196),Manhattan College,4513,MANHATTAN COLLEGE PARKWAY,Bronx,10471,http://www.manhattan.edu/,2087584,2058030801
POINT (-73.90284544181063 40.91263942581352),College Of Mount St. Vincent,6301,RIVERDALE AVENUE,Bronx,10471,http://www.cmsv.edu/,2098636,2059580001
POINT (-73.827002596629 40.88021177487783),"College Of New Rochelle, The / School Of New Resources/Co-Op City Campus",755,CO-OP CITY BOULEVARD,Bronx,10475,http://www.cnr.edu/,2072365,2051410390
POINT (-73.98129553261923 40.691699768257685),Long Island University / Brooklyn Campus,1,UNIVERSITY PLAZA,Brooklyn,11201,http://www.liu.edu/liu_start.html,3338885,3020850001
POINT (-73.9456342920531 40.6799503315382),"College Of New Rochelle, The / School Of New Resources/Brooklyn Campus",1368,FULTON STREET,Brooklyn,11216,http://www.cnr.edu/,3053786,3018620014
POINT (-73.98308348320116 40.69230564267101),Institute Of Design And Construction,141,WILLOUGHBY STREET,Brooklyn,11201,http://www.idcbrooklyn.org/,3058246,3020600001
POINT (-73.9921109815578 40.69306855757583),St. Francis College,180,REMSEN STREET,Brooklyn,11201,http://www.stfranciscollege.edu/,3335934,3002550036
POINT (-73.95775285303331 40.71658090096847),"Boricua College, Northside Center",186,NORTH 6 STREET,Brooklyn,11211,http://www.boricuacollege.edu/,3062216,3023360018
POINT (-73.9641713381281 40.69179151661372),Pratt Institute,200,WILLOUGHBY AVENUE,Brooklyn,11205,http://www.pratt.edu/,3334961,3019200001
POINT (-73.96769005811436 40.69052201077746),St. Joseph's College / Brooklyn Campus,245,CLINTON AVENUE,Brooklyn,11205,http://www.sjcny.edu/home.html,3332264,3019160013
POINT (-73.99740081950995 40.69055915437317),Long Island College Hospital School Of Nursing,339,HICKS STREET,Brooklyn,11201,http://www.albany.net/~orchard/lich.html,3002928,3002840001
POINT (-73.98565829535117 40.69463215570763),Polytechnic University / Brooklyn-Metrotech Campus,6,METROTECH CENTER,Brooklyn,11201,http://www.poly.edu/index_ie.cfm,3331744,3001427501
POINT (-73.94248381837252 40.701296859100935),"Boricua College, Graham Center",9,GRAHAM AVENUE,Brooklyn,11206,http://www.boricuacollege.edu/,3071650,3031260001
POINT (-74.00479825356436 40.71110496435334),Pace University / New York City Campus,1,PACE PLAZA,New York,10038,http://www.pace.edu/,1001357,1001020001
POINT (-74.01263555490442 40.715434404674916),St. John's University / Manhattan Campus,101,MURRAY STREET,New York,10007,http://www.stjohns.edu/pls/portal30/sjudev.school.adminhome,1001542,1001420100
POINT (-73.98514610080309 40.770821960815844),Fordham University/Lincoln Center Campus,113,WEST 60 STREET,New York,10023,http://www.fordham.edu/,1028830,1011320020
POINT (-73.9616669913283 40.806815074075836),Columbia University,1130,AMSTERDAM AVENUE,New York,10027,http://www.columbia.edu/,1084846,1018860001
POINT (-73.96148487501755 40.81239324826694),Manhattan School Of Music,120,CLAREMONT AVENUE,New York,10027,http://www.msmnyc.edu/,1076684,1019930001
POINT (-73.95662756289357 40.762889704137415),"Rockefeller University, The",1230,YORK AVENUE,New York,10021,http://www.rockefeller.edu/,0,
POINT (-74.01295986865433 40.71458526392435),"College Of New Rochelle, The / School Of New Resources/District Council 37 Campus",125,BARCLAY STREET,New York,10007,http://www.cnr.edu/,1001417,1001280026
POINT (-73.95472938360106 40.76473776409553),Cornell University / Weill Medical College Of Cornell University,1300,YORK AVENUE,New York,10021,http://www.med.cornell.edu/,1084785,1014800001
POINT (-73.94772625973405 40.80824453429463),"College Of New Rochelle, The / School Of New Resources/Rosa Parks Campus",144,WEST 125 STREET,New York,10027,http://www.cnr.edu/,1057819,1019090009
POINT (-73.97466142784745 40.78642497243753),New School University / Mannes College Of Music,150,WEST 85 STREET,New York,10024,http://www.mannes.edu/,1032132,1012150053
POINT (-73.96245272240729 40.76858064958243),New York School Of Interior Design,170,EAST 70 STREET,New York,10021,http://www.nysid.edu/,1042502,1014040044
POINT (-73.94025622759209 40.80494109353117),New York College Of Podiatric Medicine,1800,PARK AVENUE,New York,10035,http://www.nycpm.edu/,1081382,1017490033
POINT (-73.94169697317783 40.80324528879269),Helene Fuld College Of Nursing Of North General Hospital,1879,MADISON AVENUE,New York,10035,http://www.helenefuld.edu/,1077376,1017470035
POINT (-73.99787780140895 40.73207510379186),New York University,22,WASHINGTON SQUARE NORTH,New York,10011,http://www.nyu.edu/,1080111,1005510011
POINT (-73.95974673761155 40.76872195160445),Marymount Manhattan College,221,EAST 71 STREET,New York,10021,http://marymount.mmm.edu/,1083341,1014260035
POINT (-73.9953620336229 40.74868111655497),"College Of New Rochelle, The / School Of New Resources/New York Theological Seminary Campus",252,WEST 29 STREET,New York,10001,http://www.cnr.edu/,1014271,1007780070
POINT (-73.99057872656032 40.74240548177522),Touro College,27,WEST 23 STREET,New York,10010,http://www.touro.edu/,1015580,1008250024
POINT (-73.99539777630206 40.724530937742024),Pratt Institute / Manhattan Campus,295,LAFAYETTE STREET,New York,10012,http://www.pratt.edu/,1007941,1005100045
POINT (-73.99162508259106 40.72813483481943),"Cooper Union, The / For The Advancement Of Science And Art Suite 300",30,COOPER SQUARE,New York,10003,http://www.cooper.edu/,1008779,1005440048
POINT (-73.96394826057096 40.80913269168725),Barnard College,3009,BROADWAY,New York,10027,http://www.barnard.edu/,1082351,1019890001
POINT (-73.96001031213936 40.811801634463286),Jewish Theological Seminary / List College Of Jewish Studies,3080,BROADWAY,New York,10027,http://www.jtsa.edu/,1059669,1019770001
POINT (-73.9810549374029 40.73686062472525),Phillips Beth Israel School Of Nursing,310,EAST 22 STREET,New York,10010,http://wehealny.org/bischoolofnursing/index.html,1020567,1009270055
POINT (-73.94587880144374 40.83347318351127),Boricua College,3755,BROADWAY,New York,10032,http://www.boricuacollege.edu/,1063250,1021340053
POINT (-73.9553818130165 40.76523174250826),Cornell University / Weill Graduate School Of Medical Sciences Of Cornell University,445,EAST 69 STREET,New York,10021,http://www.med.cornell.edu/gradschool/,1045585,1014640021
POINT (-73.98864638744395 40.767873514551425),American Academy Mcallister Institute Of Funeral Service,450,WEST 56 STREET,New York,10019,http://www.a-a-m-i.org/,1026841,1010650001
POINT (-73.92980468839204 40.85053977419417),Yeshiva University,500,WEST 185 STREET,New York,10033,http://www.yu.edu/,1063719,1021560016
POINT (-73.96028717108886 40.81029418631306),"Teachers College, Columbia University",525,WEST 120 STREET,New York,10027,http://www.tc.columbia.edu/,1083643,1019750001
POINT (-73.99649861360797 40.736553887838184),New School University / Jazz And Contemporary Music Program,55,WEST 13 STREET,New York,10011,http://www.newschool.edu/jazz/,1009722,1005770071
POINT (-73.9666683641188 40.80557808768119),Bank Street College Of Education / Graduate School Of Education,610,WEST 112 STREET,New York,10025,http://www.bankstreet.edu/,1057331,1018940056
POINT (-73.99747679976271 40.73526236196918),New School University / Eugene Lang College,65,WEST 11 STREET,New York,10011,http://www.lang.edu/,1009567,1005750017
POINT (-73.95026316293709 40.81940116680288),The City College of New York,160,CONVENT AVENUE,New York,10031,http://www1.ccny.cuny.edu/,1084081,1019570200
